restaurant,restaurant_address,food,food_origin
Tim Hortons,726 Michael Via Suite 090,Samosa,georgia
Red Lobster,10865 Michael Ranch Suite 245,Kimchi,nigeria
Taco Bell,546 Clark Mall,Jambalaya,yemen
Cheesecake Factory,20611 Wheeler Pine,Quiche,croatia
IHOP,74004 Knight Manor,Fish and Chips,poland
Sonic Drive-In,96285 Morrison Dam,Ratatouille,guam
Tim Hortons,726 Michael Via Suite 090,Moussaka,aruba
McDonald's,5795 Danielle Ways,Fried Chicken,oman
Chipotle,8984 Moore Junctions Apt. 841,Miso Soup,ireland
TGI Friday's,18669 Jackson Mount Suite 376,Crepes,sierra-leone
Shake Shack,00983 Pamela Springs,Quiche,el-salvador
IHOP,6402 Reid Ford,Risotto,romania
Red Lobster,53104 Lambert Field Suite 907,Ramen,djibouti
Popeyes,9058 Jonathan Via,Quiche,croatia
Burger King,039 Johnson Bypass Apt. 537,Steak,lithuania
IHOP,764 Moyer Groves,Omelette,malaysia
Starbucks,44769 Alexander Meadow Apt. 850,Salad,jordan
Popeyes,9058 Jonathan Via,Fufu,macau
Olive Garden,6402 Reid Ford,Pozole,botswana
Panera Bread,30025 Cynthia Bypass Apt. 688,Coleslaw,costa-rica
Dunkin',24104 Melissa Village,Banoffee Pie,uruguay
Taco Bell,68341 Christy Village,Empanadas,guinea
Tim Hortons,61988 Tony Isle,Bento Box,burundi
Dunkin',24104 Melissa Village,Shawarma,nepal
Shake Shack,1247 Grace Islands Apt. 246,Crepes,turkmenistan
Chili's,207 Beth Alley,Quiche,croatia
Chili's,87065 Gallegos Landing Apt. 450,Fried Chicken,zambia
Texas Roadhouse,9072 Sherman Loop,Fish and Chips,kenya
Shake Shack,20131 Bradley Ways,Pozole,mauritania
Subway,3258 Chase Motorway Apt. 151,Meatballs,bermuda
Applebee's,54047 Eric Station Apt. 446,Cornbread,canada
Starbucks,198 Dana Junctions,Moussaka,greenland
Ruby Tuesday,190 Courtney Brook,Jollof Rice,jersey
Tim Hortons,8877 Singleton Greens,Curry,antigua-and-barbuda
Panera Bread,30025 Cynthia Bypass Apt. 688,Harira,canada
Cracker Barrel,8162 Carroll Shoals,Crepes,turkmenistan
Panera Bread,52323 Mercer Skyway Apt. 291,Quiche,aruba
Popeyes,9058 Jonathan Via,Croissant,bangladesh
Ruby Tuesday,939 Smith Centers,Sushi,guinea
IHOP,74004 Knight Manor,Spring Rolls,cyprus
Tim Hortons,61988 Tony Isle,Curry,antigua-and-barbuda
McDonald's,19362 Payne Causeway Suite 534,Sticky Rice,botswana
TGI Friday's,3871 Castaneda Pines Apt. 351,Pierogi,curacao
Cracker Barrel,546 Clark Mall,Miso Soup,malta
Chili's,447 Alyssa Radial Apt. 946,Fish and Chips,saint-lucia
Arby's,8840 Grant Valley Suite 846,Salad,namibia
TGI Friday's,38536 Richardson Green,Shepherd's Pie,isle-of-man
Five Guys,007 Tiffany Haven Suite 378,Pad Thai,dominican-republic
Taco Bell,546 Clark Mall,Jambalaya,cayman-islands
Cracker Barrel,6038 Luis Parkways,Shepherd's Pie,isle-of-man
Tim Hortons,5112 Campbell Mount,Tortilla,ecuador
Cracker Barrel,546 Clark Mall,Salad,botswana
Chipotle,74829 Clarke Park,Gelato,cayman-islands
Outback Steakhouse,1673 Townsend Turnpike,Fried Chicken,zambia
Domino's,456 Carrie Dale Apt. 861,Miso Soup,china
Outback Steakhouse,491 Jennifer Parkway,Satay,bolivia
KFC,300 Lloyd Causeway,Bratwurst,finland
TGI Friday's,943 Williams Flat Apt. 054,Poke Bowl,afghanistan
Red Lobster,3600 Tamara Circle Apt. 910,Kimchi,chile
Five Guys,920 Ashley Club,Miso Soup,china
Dunkin',597 Matthews Dam Apt. 675,French Fries,lithuania
Arby's,970 Smith Wells Suite 905,Bratwurst,philippines
Little Caesars,8446 Swanson Plaza Suite 553,Plantains,korea-north
Outback Steakhouse,9486 Nancy Keys,Burger,costa-rica
Sonic Drive-In,0140 Smith Heights Suite 124,Dolma,qatar
Five Guys,15565 Jacobs Crest,Curry,antigua-and-barbuda
Popeyes,9058 Jonathan Via,Pasta,northern-mariana-islands
Buffalo Wild Wings,88469 Margaret Shore,Pasta,switzerland
Pizza Hut,0549 Susan Fields Suite 973,Churros,latvia
Ruby Tuesday,477 Smith Meadow Apt. 029,Falafel,austria
Subway,567 Dean Ways Apt. 733,Tabbouleh,thailand
Sonic Drive-In,757 Valerie Shores,Cornbread,canada
Ruby Tuesday,55401 Stanley Plaza Suite 740,Pho,montenegro
Panera Bread,08186 Briggs Path Apt. 893,Laksa,saint-vincent-and-the-grenadines
Tim Hortons,61988 Tony Isle,Tamales,samoa
KFC,300 Lloyd Causeway,Laksa,kazakhstan
Red Lobster,598 Thomas Springs,Omelette,benin
Wendy's,0768 Hector Trace,Crepes,thailand
IHOP,042 Donald Circles Apt. 738,Harira,canada
Wendy's,0976 Conway Route Apt. 897,Cornbread,tajikistan
Shake Shack,26939 Mathews Throughway Suite 744,Pozole,malaysia
TGI Friday's,000 Kane Expressway,Coleslaw,ireland
Chili's,87065 Gallegos Landing Apt. 450,Bao,saint-kitts-and-nevis
Dunkin',5112 Campbell Mount,Arepas,kuwait
Chili's,44769 Alexander Meadow Apt. 850,Tonkatsu,serbia
Popeyes,9058 Jonathan Via,Bratwurst,philippines
Dunkin',24104 Melissa Village,Kebab,somalia
Pizza Hut,567 Dean Ways Apt. 733,Bao,saint-kitts-and-nevis
Subway,358 Dodson Passage,Fufu,macau
Burger King,039 Johnson Bypass Apt. 537,Dolma,sri-lanka
Five Guys,720 Wells Street,Fufu,hong-kong
IHOP,74004 Knight Manor,Ratatouille,kuwait
KFC,943 Williams Flat Apt. 054,Pancakes,egypt
Subway,24104 Melissa Village,Baguette,congo-democratic-republic-of-the
Buffalo Wild Wings,454 Darlene Port Apt. 418,Tabbouleh,thailand
TGI Friday's,000 Kane Expressway,Poke Bowl,italy
Arby's,745 Dana River Suite 513,Jollof Rice,maldives
Buffalo Wild Wings,88469 Margaret Shore,Jambalaya,belgium
Sonic Drive-In,4859 Isaac Squares,Udon,malta
Wendy's,20611 Wheeler Pine,Dolma,qatar
Panera Bread,2894 Kenneth Roads,Plantains,india
Domino's,039 Johnson Bypass Apt. 537,Miso Soup,ireland
TGI Friday's,3871 Castaneda Pines Apt. 351,Laksa,saint-vincent-and-the-grenadines
Wendy's,97711 Leblanc Plains Apt. 306,Quiche,el-salvador
Taco Bell,293 Williams Underpass,Pizza,saint-vincent-and-the-grenadines
Popeyes,213 Brandon Extensions Suite 945,Bento Box,spain
Texas Roadhouse,82905 Douglas Plains Suite 291,Poke Bowl,lithuania
KFC,300 Lloyd Causeway,Miso Soup,ireland
Starbucks,186 Debra Village Suite 696,Lasagna,germany
Wendy's,007 Tiffany Haven Suite 378,Tacos,malta
Texas Roadhouse,0549 Susan Fields Suite 973,Cornbread,estonia
Cheesecake Factory,419 Davis Centers Suite 321,Gumbo,mongolia
Starbucks,186 Debra Village Suite 696,Burger,costa-rica
Five Guys,5698 Joel Trail Apt. 253,Coleslaw,ireland
Outback Steakhouse,51773 Holmes Fords Apt. 149,Pozole,botswana
Taco Bell,546 Clark Mall,Lamb Roast,turkey-turkiye
Olive Garden,58655 Warner Divide Suite 874,Baguette,brunei
Little Caesars,849 Barrera Villages,Gumbo,mongolia
Red Lobster,278 Price Rest,Clam Chowder,malawi
Texas Roadhouse,0549 Susan Fields Suite 973,Bratwurst,philippines
Popeyes,738 Garner Bypass,Miso Soup,zambia
Ruby Tuesday,477 Smith Meadow Apt. 029,Omelette,cabo-verde
Sonic Drive-In,61988 Tony Isle,Kimchi,chile
Applebee's,5698 Joel Trail Apt. 253,Dolma,sri-lanka
Domino's,670 Vanessa Cape,Borscht,cyprus
Taco Bell,288 Benjamin Inlet,Pozole,mauritania
Tim Hortons,726 Michael Via Suite 090,Burger,malawi
Pizza Hut,685 Tom Divide Apt. 622,Salad,jordan
Wendy's,677 Carolyn Way,Harira,canada
Pizza Hut,2845 Miller Harbors Suite 164,Spring Rolls,hungary
Pizza Hut,52323 Mercer Skyway Apt. 291,Meatballs,pakistan
Red Lobster,18825 Powers Trail,Pierogi,united-kingdom
Applebee's,2483 Walker Road,Gumbo,chad
Domino's,616 Yvette Islands,Jambalaya,belgium
Texas Roadhouse,9072 Sherman Loop,Moussaka,lesotho
McDonald's,30025 Cynthia Bypass Apt. 688,Croissant,bangladesh
Panera Bread,6685 Farley Locks,Khachapuri,yemen
Little Caesars,664 Austin Extension,Lamb Roast,burkina-faso
Popeyes,738 Garner Bypass,Moussaka,aruba
Red Lobster,9968 Estes Inlet Suite 797,Gumbo,isle-of-man
Little Caesars,62001 Mallory Extension,Laksa,saint-vincent-and-the-grenadines
Texas Roadhouse,66456 Katherine Place,Pozole,malaysia
McDonald's,598 Thomas Springs,Arepas,vietnam
Shake Shack,199 Tamara Forks Suite 830,Steamed Buns,djibouti
Subway,2450 Lozano Spring,Nasi Goreng,sudan
IHOP,345 Poole Prairie Suite 418,Falafel,united-states
Cheesecake Factory,226 Patel Ridge Suite 602,Cornbread,guinea
Red Lobster,18825 Powers Trail,Fish and Chips,new-zealand
Chili's,98926 Baker Roads,Steamed Buns,djibouti
Domino's,616 Yvette Islands,Steamed Buns,djibouti
Dunkin',81082 Albert Manors Apt. 771,French Fries,kazakhstan
Starbucks,0324 Claudia Tunnel Apt. 292,Laksa,saint-vincent-and-the-grenadines
Burger King,039 Johnson Bypass Apt. 537,Miso Soup,congo-democratic-republic-of-the
Starbucks,3461 Samuel Wells Apt. 182,Pozole,mauritania
Sonic Drive-In,08186 Briggs Path Apt. 893,Fried Chicken,oman
Chipotle,5887 Javier Fort Apt. 356,Crepes,thailand
Pizza Hut,685 Tom Divide Apt. 622,Falafel,bosnia-and-herzegovina
Buffalo Wild Wings,30538 Carrie Pike Apt. 628,Falafel,bosnia-and-herzegovina
Sonic Drive-In,1247 Grace Islands Apt. 246,Sticky Rice,syria
Sonic Drive-In,4859 Isaac Squares,Satay,bolivia
Pizza Hut,52323 Mercer Skyway Apt. 291,Fried Chicken,zambia
IHOP,471 Holloway Road,Gnocchi,austria
Chick-fil-A,556 Kaylee Fords,Pancakes,burundi
Sonic Drive-In,0140 Smith Heights Suite 124,Crepes,thailand
IHOP,74004 Knight Manor,Salad,malaysia
Red Lobster,1813 Garrett Mill,Kimchi,chile
Sonic Drive-In,5073 Scott Groves Suite 909,Burger,costa-rica
Domino's,000 Carney Circle,Omelette,curacao
Little Caesars,53104 Lambert Field Suite 907,Churros,turkmenistan
Outback Steakhouse,3871 Castaneda Pines Apt. 351,Nasi Goreng,sudan
Domino's,251 Barnett Parks,Risotto,romania
Olive Garden,6402 Reid Ford,Falafel,united-states
Subway,567 Dean Ways Apt. 733,Meatballs,bermuda
McDonald's,457 Bobby Lights Suite 545,Pho,montenegro
Pizza Hut,161 Berry Falls Suite 287,Pho,comoros
Chick-fil-A,5113 Webb Springs,Ratatouille,syria
Panera Bread,726 Michael Via Suite 090,Fish and Chips,eswatini
Sonic Drive-In,757 Valerie Shores,Kimchi,chile
IHOP,345 Poole Prairie Suite 418,Bratwurst,rwanda
Panera Bread,2894 Kenneth Roads,Kimchi,dominican-republic
Buffalo Wild Wings,68341 Christy Village,Chow Mein,congo-democratic-republic-of-the
Subway,358 Dodson Passage,Banoffee Pie,montenegro
Pizza Hut,3600 Tamara Circle Apt. 910,Jambalaya,cayman-islands
Panera Bread,2894 Kenneth Roads,Quiche,croatia
Starbucks,3461 Samuel Wells Apt. 182,Arepas,cote-divoire
Chili's,447 Alyssa Radial Apt. 946,Laksa,rwanda
Panera Bread,442 Reynolds Expressway,Vindaloo,bhutan
Subway,358 Dodson Passage,Nasi Goreng,jamaica
Applebee's,8830 Wise Forest Apt. 322,Miso Soup,congo-democratic-republic-of-the
Subway,2314 Anderson Coves Suite 102,Cheesecake,colombia
Burger King,8897 Castaneda Way Apt. 829,Gumbo,mongolia
Applebee's,54047 Eric Station Apt. 446,Hotdog,fiji
Buffalo Wild Wings,8707 Doyle Drive Apt. 256,Udon,malta
Pizza Hut,2845 Miller Harbors Suite 164,Gumbo,isle-of-man
Buffalo Wild Wings,670 Vanessa Cape,Meatballs,pakistan
Chili's,207 Beth Alley,Jambalaya,gabon
Chili's,849 Barrera Villages,Pad Thai,czechia
Panera Bread,6685 Farley Locks,Quiche,croatia
Popeyes,457 Bobby Lights Suite 545,Coleslaw,costa-rica
Chipotle,5887 Javier Fort Apt. 356,Risotto,romania
Wendy's,3347 White Street,Fufu,macau
Chick-fil-A,2450 Lozano Spring,Gnocchi,new-caledonia
Five Guys,007 Tiffany Haven Suite 378,Pasta,solomon-islands
Outback Steakhouse,991 Deborah Crescent,Gumbo,mongolia
McDonald's,82905 Douglas Plains Suite 291,Kimchi,chile
Starbucks,78936 Lopez Freeway Apt. 599,Cheesecake,kenya
Chick-fil-A,8877 Singleton Greens,Pancakes,egypt
McDonald's,456 Carrie Dale Apt. 861,Barbecue Ribs,israel
Popeyes,845 Jennifer Underpass,Plantains,korea-north
Texas Roadhouse,9072 Sherman Loop,Pierogi,hong-kong
Domino's,082 Corey Coves,Tabbouleh,antigua-and-barbuda
Cracker Barrel,8162 Carroll Shoals,Cassoulet,kenya
TGI Friday's,000 Kane Expressway,Satay,bahamas-the
Cracker Barrel,991 Deborah Crescent,Pizza,iran
Chick-fil-A,362 Caitlin Corners Apt. 661,Lasagna,bahamas-the
Chipotle,5887 Javier Fort Apt. 356,Clam Chowder,malawi
Pizza Hut,3600 Tamara Circle Apt. 910,Spring Rolls,venezuela
Popeyes,213 Brandon Extensions Suite 945,Salad,jordan
Cracker Barrel,150 Tina Shoals Apt. 638,Curry,burkina-faso
KFC,943 Williams Flat Apt. 054,Miso Soup,zambia
McDonald's,82905 Douglas Plains Suite 291,Pizza,iran
Starbucks,41292 Conway Cape,Steamed Buns,australia
TGI Friday's,254 Natalie Harbor,Pancakes,ireland
Cracker Barrel,546 Clark Mall,Pho,montenegro
Arby's,8840 Grant Valley Suite 846,Salad,botswana
Starbucks,41292 Conway Cape,Burger,malawi
KFC,8481 Foster Drive,Biryani,estonia
McDonald's,006 Scott Mountain Suite 766,Bratwurst,morocco
Outback Steakhouse,1673 Townsend Turnpike,Clam Chowder,malawi
Tim Hortons,150 Tina Shoals Apt. 638,Borscht,paraguay
Starbucks,42875 Green Rapid,Samosa,cameroon
Olive Garden,322 Medina River,Miso Soup,congo-democratic-republic-of-the
Little Caesars,3461 Samuel Wells Apt. 182,Quiche,aruba
Ruby Tuesday,55401 Stanley Plaza Suite 740,Gumbo,mongolia
Wendy's,9465 Karen Estates Apt. 314,Khachapuri,yemen
Five Guys,2225 Gibson Islands Apt. 616,Haggis,slovakia
Applebee's,1254 Mason Forks Apt. 495,Churros,korea-south
Applebee's,54047 Eric Station Apt. 446,Carrot Cake,sri-lanka
Chipotle,74829 Clarke Park,Chow Mein,congo-democratic-republic-of-the
Wendy's,22777 Rush Key,Meatballs,bermuda
Ruby Tuesday,190 Courtney Brook,Hummus,solomon-islands
Shake Shack,517 Gonzalez Orchard,Lamb Roast,turks-and-caicos-islands
Texas Roadhouse,38536 Richardson Green,Biryani,virgin-islands
Subway,85583 Courtney Village Apt. 623,Arepas,djibouti
Popeyes,45590 Brown Prairie,Chow Mein,congo-democratic-republic-of-the
Taco Bell,68341 Christy Village,Risotto,equatorial-guinea
Applebee's,8830 Wise Forest Apt. 322,Fried Chicken,new-caledonia
Chipotle,2265 Christopher Crescent Suite 466,Steak,estonia
Little Caesars,73551 Lopez Loaf,Miso Soup,malta
Chili's,44769 Alexander Meadow Apt. 850,Tonkatsu,panama
Domino's,039 Johnson Bypass Apt. 537,Cornbread,china
Little Caesars,849 Barrera Villages,Tortilla,albania
Starbucks,78936 Lopez Freeway Apt. 599,Croissant,pakistan
Subway,85583 Courtney Village Apt. 623,Ratatouille,eswatini
Buffalo Wild Wings,68341 Christy Village,Samosa,georgia
Olive Garden,6402 Reid Ford,Salad,ecuador
Arby's,0500 Riley Wells,Udon,mauritania
Wendy's,0976 Conway Route Apt. 897,Arepas,kenya
Starbucks,78936 Lopez Freeway Apt. 599,Miso Soup,congo-democratic-republic-of-the
Chick-fil-A,87065 Gallegos Landing Apt. 450,Omelette,cabo-verde
Shake Shack,757 Valerie Shores,Shakshuka,virgin-islands
Red Lobster,1870 Jennifer Village Suite 635,Arepas,cote-divoire
Outback Steakhouse,792 Perez Place,Cornbread,china
Buffalo Wild Wings,8707 Doyle Drive Apt. 256,Bao,saint-kitts-and-nevis
Cheesecake Factory,248 Aaron Wall Suite 624,Jambalaya,gabon
Subway,2314 Anderson Coves Suite 102,Bratwurst,philippines
Wendy's,677 Carolyn Way,Hummus,curacao
Olive Garden,42875 Green Rapid,Bao,bahamas-the
TGI Friday's,5333 Patrick Route,Bento Box,mexico
Cracker Barrel,19507 Melissa Street,Falafel,bosnia-and-herzegovina
Chipotle,0976 Conway Route Apt. 897,Kimchi,nigeria
Dunkin',24104 Melissa Village,French Fries,lithuania
TGI Friday's,18669 Jackson Mount Suite 376,Arepas,kazakhstan
Cracker Barrel,19507 Melissa Street,Quiche,india
Cheesecake Factory,925 Ramirez Road,Harira,puerto-rico
Applebee's,2163 Sarah Inlet Suite 927,Satay,bolivia
Tim Hortons,61988 Tony Isle,Spring Rolls,venezuela
Popeyes,845 Jennifer Underpass,Samosa,trinidad-and-tobago
Starbucks,000 Carney Circle,Laksa,saint-vincent-and-the-grenadines
Arby's,47622 Lauren Way,Laksa,nepal
Domino's,000 Carney Circle,Risotto,malaysia
Arby's,66337 Julie Cape Apt. 093,Khachapuri,costa-rica
IHOP,198 Dana Junctions,Chow Mein,congo-democratic-republic-of-the
Sonic Drive-In,4859 Isaac Squares,Goulash,congo-democratic-republic-of-the
Little Caesars,2845 Miller Harbors Suite 164,Borscht,china
Ruby Tuesday,190 Courtney Brook,Pad Thai,gambia-the
Olive Garden,6402 Reid Ford,Moussaka,aruba
Sonic Drive-In,5073 Scott Groves Suite 909,Fish and Chips,new-zealand
Dunkin',24104 Melissa Village,Hummus,solomon-islands
Texas Roadhouse,0549 Susan Fields Suite 973,Satay,bahamas-the
Subway,55401 Stanley Plaza Suite 740,Fish and Chips,kenya
Five Guys,007 Tiffany Haven Suite 378,Falafel,panama
KFC,939 Smith Centers,Ratatouille,kuwait
Olive Garden,455 Stephens Landing,Burger,malawi
Subway,85583 Courtney Village Apt. 623,Borscht,mali
Texas Roadhouse,38536 Richardson Green,Jambalaya,belgium
Domino's,597 Matthews Dam Apt. 675,Pierogi,curacao
Panera Bread,30025 Cynthia Bypass Apt. 688,Gelato,cayman-islands
TGI Friday's,254 Natalie Harbor,Pozole,malaysia
Tim Hortons,5112 Campbell Mount,Hummus,curacao
Outback Steakhouse,3871 Castaneda Pines Apt. 351,French Fries,kazakhstan
Popeyes,161 Berry Falls Suite 287,Kimchi,nigeria
Popeyes,45590 Brown Prairie,Crepes,zambia
Wendy's,0976 Conway Route Apt. 897,Biryani,niger
Tim Hortons,00983 Pamela Springs,Fish and Chips,mauritania
Texas Roadhouse,0549 Susan Fields Suite 973,Miso Soup,congo-democratic-republic-of-the
Sonic Drive-In,61988 Tony Isle,Pad Thai,somalia
Pizza Hut,2845 Miller Harbors Suite 164,Udon,malta
Starbucks,0324 Claudia Tunnel Apt. 292,Salad,ecuador
Shake Shack,20131 Bradley Ways,Arepas,kenya
Outback Steakhouse,51773 Holmes Fords Apt. 149,Shawarma,nepal
Subway,85583 Courtney Village Apt. 623,Spring Rolls,venezuela
Pizza Hut,52323 Mercer Skyway Apt. 291,Borscht,sweden
Panera Bread,447 Alyssa Radial Apt. 946,Crepes,sierra-leone
Arby's,006 Scott Mountain Suite 766,Banoffee Pie,portugal
Panera Bread,92252 Diane Flat,Banoffee Pie,portugal
Chili's,207 Beth Alley,Poke Bowl,afghanistan
Little Caesars,3461 Samuel Wells Apt. 182,Nasi Goreng,philippines
Olive Garden,322 Medina River,Steak,lithuania
Texas Roadhouse,419 Davis Centers Suite 321,Laksa,saint-vincent-and-the-grenadines
Chick-fil-A,553 Anderson Ridge Apt. 584,Goulash,mozambique
Shake Shack,60267 Howard Street Suite 857,Shakshuka,peru
Pizza Hut,6469 Crystal Crossroad,Bento Box,burundi
Chili's,98926 Baker Roads,Laksa,russia
Little Caesars,73551 Lopez Loaf,Churros,latvia
IHOP,345 Poole Prairie Suite 418,Meatballs,bermuda
Texas Roadhouse,0549 Susan Fields Suite 973,Harira,canada
Tim Hortons,00983 Pamela Springs,Coleslaw,senegal
Little Caesars,54047 Eric Station Apt. 446,Udon,malta
TGI Friday's,943 Williams Flat Apt. 054,Pizza,dominican-republic
TGI Friday's,254 Natalie Harbor,Salad,malaysia
Chili's,44769 Alexander Meadow Apt. 850,Jambalaya,cayman-islands
Arby's,006 Scott Mountain Suite 766,Crepes,dominican-republic
Five Guys,32944 Carter River Apt. 361,Chow Mein,greenland
Red Lobster,3600 Tamara Circle Apt. 910,Arepas,saint-kitts-and-nevis
TGI Friday's,18669 Jackson Mount Suite 376,Quiche,guinea-bissau
TGI Friday's,38536 Richardson Green,Curry,antigua-and-barbuda
Panera Bread,6685 Farley Locks,Kimchi,dominican-republic
Pizza Hut,2845 Miller Harbors Suite 164,Cornbread,canada
McDonald's,457 Bobby Lights Suite 545,Barbecue Ribs,israel
Pizza Hut,52323 Mercer Skyway Apt. 291,Hummus,curacao
Tim Hortons,00983 Pamela Springs,Pierogi,bosnia-and-herzegovina
Olive Garden,455 Stephens Landing,Miso Soup,malta
Popeyes,161 Berry Falls Suite 287,Pozole,mauritania
Shake Shack,62001 Mallory Extension,Crepes,zambia
Olive Garden,58655 Warner Divide Suite 874,Tabbouleh,antigua-and-barbuda
Texas Roadhouse,419 Davis Centers Suite 321,Arepas,kenya
Chipotle,74829 Clarke Park,Arepas,djibouti
Wendy's,9465 Karen Estates Apt. 314,French Fries,cabo-verde
Sonic Drive-In,757 Valerie Shores,Bratwurst,french-polynesia
Chipotle,22777 Rush Key,Spring Rolls,venezuela
Panera Bread,34980 Jones Inlet Apt. 469,Falafel,austria
Outback Steakhouse,3871 Castaneda Pines Apt. 351,Fried Chicken,oman
Chipotle,664 Austin Extension,Meatballs,panama
Cracker Barrel,3258 Chase Motorway Apt. 151,Chow Mein,congo-democratic-republic-of-the
Tim Hortons,61988 Tony Isle,Miso Soup,malta
Olive Garden,9526 Jones Lodge Apt. 826,Pho,montenegro
Domino's,597 Matthews Dam Apt. 675,Sticky Rice,botswana
Five Guys,8897 Castaneda Way Apt. 829,Crepes,turkmenistan
Popeyes,161 Berry Falls Suite 287,Shepherd's Pie,isle-of-man
Ruby Tuesday,939 Smith Centers,Ceviche,seychelles
Pizza Hut,52323 Mercer Skyway Apt. 291,Sticky Rice,botswana
Chili's,207 Beth Alley,Quiche,india
Subway,55401 Stanley Plaza Suite 740,Pierogi,bosnia-and-herzegovina
Pizza Hut,567 Dean Ways Apt. 733,Croissant,bangladesh
Domino's,8830 Wise Forest Apt. 322,Satay,haiti
Domino's,082 Corey Coves,Khachapuri,yemen
Popeyes,92252 Diane Flat,Moussaka,lesotho
Taco Bell,0769 Michael Springs,Pozole,mauritania
Popeyes,480 Matthew Ville Suite 854,Arepas,djibouti
Ruby Tuesday,477 Smith Meadow Apt. 029,Biryani,virgin-islands
Outback Steakhouse,51773 Holmes Fords Apt. 149,Coleslaw,uruguay
Panera Bread,08186 Briggs Path Apt. 893,Poke Bowl,lithuania
Buffalo Wild Wings,670 Vanessa Cape,Fried Chicken,new-caledonia
Panera Bread,92252 Diane Flat,Carrot Cake,cayman-islands
Cheesecake Factory,20611 Wheeler Pine,Lamb Roast,turks-and-caicos-islands
Popeyes,480 Matthew Ville Suite 854,Fried Chicken,new-caledonia
Popeyes,6409 Johnson Plaza Suite 999,Fish and Chips,saint-lucia
Domino's,358 Dodson Passage,Satay,haiti
Little Caesars,62001 Mallory Extension,Sticky Rice,botswana
Arby's,8840 Grant Valley Suite 846,Pad Thai,sweden
Sonic Drive-In,96285 Morrison Dam,Crepes,dominican-republic
Cracker Barrel,991 Deborah Crescent,Biryani,virgin-islands
Cracker Barrel,8162 Carroll Shoals,Pasta,northern-mariana-islands
Sonic Drive-In,745 Dana River Suite 513,Haggis,cote-divoire
Panera Bread,52323 Mercer Skyway Apt. 291,Bratwurst,finland
Chipotle,322 Medina River,Lamb Roast,burkina-faso
Arby's,0500 Riley Wells,Falafel,united-states
Chipotle,2265 Christopher Crescent Suite 466,Miso Soup,congo-democratic-republic-of-the
Popeyes,457 Bobby Lights Suite 545,Churros,korea-south
Chipotle,2265 Christopher Crescent Suite 466,Borscht,china
Olive Garden,6402 Reid Ford,Borscht,paraguay
Pizza Hut,52323 Mercer Skyway Apt. 291,Fish and Chips,kenya
Five Guys,007 Tiffany Haven Suite 378,Biryani,virgin-islands
IHOP,6402 Reid Ford,Fish and Chips,mauritania
McDonald's,925 Ramirez Road,Steak,guinea-bissau
Cracker Barrel,389 Michael Drive Suite 565,Kimchi,nigeria
KFC,939 Smith Centers,Pancakes,egypt
Sonic Drive-In,61988 Tony Isle,Paella,curacao
Pizza Hut,0549 Susan Fields Suite 973,Moussaka,lesotho
Outback Steakhouse,491 Jennifer Parkway,Pizza,iran
Buffalo Wild Wings,30538 Carrie Pike Apt. 628,Nasi Goreng,sudan
Ruby Tuesday,55401 Stanley Plaza Suite 740,Fufu,hong-kong
Cracker Barrel,3258 Chase Motorway Apt. 151,Steak,guinea-bissau
Panera Bread,30025 Cynthia Bypass Apt. 688,Lasagna,bahamas-the
Texas Roadhouse,0549 Susan Fields Suite 973,Ratatouille,kuwait
Pizza Hut,0549 Susan Fields Suite 973,Biryani,virgin-islands
KFC,1673 Townsend Turnpike,Banoffee Pie,portugal
Dunkin',31396 Lauren Lodge,Pho,comoros
Pizza Hut,3600 Tamara Circle Apt. 910,Quiche,solomon-islands
Subway,2450 Lozano Spring,Pho,portugal
Cheesecake Factory,12848 Navarro Turnpike Suite 366,Arepas,cote-divoire
Wendy's,677 Carolyn Way,Pancakes,burundi
Chipotle,22777 Rush Key,Kebab,somalia
Domino's,082 Corey Coves,Gumbo,isle-of-man
Tim Hortons,532 Pugh Wells,Plantains,iran
Five Guys,720 Wells Street,Pancakes,ireland
Domino's,251 Barnett Parks,Ratatouille,kuwait
Dunkin',5112 Campbell Mount,Steak,guinea-bissau
Applebee's,54047 Eric Station Apt. 446,Udon,mauritania
Shake Shack,20131 Bradley Ways,Plantains,korea-north
IHOP,198 Dana Junctions,Pozole,mauritania
Buffalo Wild Wings,454 Darlene Port Apt. 418,Spring Rolls,cyprus
IHOP,916 West Mountain Apt. 223,Lasagna,bahamas-the
Shake Shack,62001 Mallory Extension,Gelato,kazakhstan
Popeyes,738 Garner Bypass,Barbecue Ribs,iraq
Taco Bell,98184 Knight Underpass,French Fries,lithuania
Five Guys,8897 Castaneda Way Apt. 829,Satay,bolivia
Domino's,039 Johnson Bypass Apt. 537,Quiche,guinea-bissau
IHOP,345 Poole Prairie Suite 418,Steamed Buns,australia
Chick-fil-A,362 Caitlin Corners Apt. 661,Meatballs,bermuda
Red Lobster,53104 Lambert Field Suite 907,Udon,malta
Little Caesars,2845 Miller Harbors Suite 164,Steamed Buns,cambodia
Shake Shack,2894 Kenneth Roads,Hummus,curacao
Pizza Hut,685 Tom Divide Apt. 622,Miso Soup,congo-democratic-republic-of-the
Buffalo Wild Wings,670 Vanessa Cape,Banoffee Pie,montenegro
Starbucks,3461 Samuel Wells Apt. 182,Shepherd's Pie,isle-of-man
Chili's,849 Barrera Villages,Arepas,kazakhstan
Cracker Barrel,5314 Mcdonald Throughway,Steamed Buns,djibouti
Taco Bell,293 Williams Underpass,Fish and Chips,new-zealand
